Job Title,Base Pay,Overtime Pay,Other Pay,Benefits,Total Pay,Pension Debt,Total Pay & Benefits
Chf Executive & Investment Ofc,678381.01,0.0,0.0,137597.79,678381.01,0.0,815978.8
Sergeant 3,203153.83,418312.45,32388.15,72226.54,653854.43,7206.73,733287.7
Senior Deputy Sheriff,146794.0,402472.63,31066.8,123054.64,580333.43,20129.73,723517.8
Managing Director,565644.32,0.0,0.0,124065.73,565644.32,0.0,689710.05
Sheriff'S Lieutenant,188652.43,306409.75,26980.96,143350.58,522043.14,23674.79,689068.51
Managing Director,566682.86,0.0,0.0,118805.91,566682.86,0.0,685488.77
Managing Director,556151.24,0.0,0.0,115953.16,556151.24,0.0,672104.4
Sergeant 3,175239.38,408237.62,25890.31,50029.14,609367.31,6009.05,665405.5
Deputy Sheriff,132372.43,357050.73,39195.76,116946.49,528618.92,18955.14,664520.55
Managing Director,540791.56,0.0,0.0,119661.82,540791.56,0.0,660453.38
Registered Nurse,462132.56,50336.5,78222.1,61777.75,590691.16,0.0,652468.91
Senior Physician Specialist,533169.78,1483.07,26699.4,90242.52,561352.25,0.0,651594.77
"Physician Administrator, Dph",534370.02,0.0,0.0,111259.4,534370.02,0.0,645629.42
Senior Physician Specialist,506929.05,0.0,26123.85,100349.86,533052.9,0.0,633402.76
"Battalion Chief, Fire Suppress",221089.52,292239.88,43069.58,65595.2,556398.98,8354.26,630348.44
Sheriff'S Lieutenant,188634.5,239705.94,30381.72,146541.29,458722.16,24288.47,629551.92
"Physician Administrator, Dph",517506.5,0.0,0.0,108016.03,517506.5,0.0,625522.53
Sheriff'S Lieutenant,185046.5,241564.37,35182.4,138704.93,461793.27,22856.38,623354.58
Deputy Sheriff,132385.04,325868.54,31087.61,110743.37,489341.19,17762.16,617846.72
"Battalion Chief, Fire Suppress",221089.46,254046.82,49397.94,66862.26,524534.22,8604.69,600001.17
Chief Deputy Sheriff (Pers),256856.56,91309.11,39999.05,178184.17,388164.72,30328.79,596677.68
Senior Physician Specialist,487854.66,0.0,7750.0,100885.11,495604.66,0.0,596489.77
Asst Chf Of Dept (Fire Dept),255478.86,201334.34,52014.36,72744.39,508827.56,9767.28,591339.23
Sheriff'S Lieutenant,188634.5,212738.93,27308.47,139655.8,428681.9,22964.35,591302.05
Sergeant 3,187275.7,298761.85,35054.69,62298.31,521092.24,6654.69,590045.24
Senior Deputy Sheriff,146794.0,267043.72,32016.25,117682.99,445853.97,19096.72,582633.68
Director,466210.02,0.0,0.0,104942.49,466210.02,0.0,571152.51
Asst Chf Of Dept (Fire Dept),255478.87,179213.63,52241.62,72744.39,486934.12,9767.28,569445.79
Director,466210.01,0.0,0.0,101671.82,466210.01,0.0,567881.83
Police Officer 3,149243.26,352670.14,12682.08,44200.38,514595.48,5123.6,563919.46
Sheriff'S Sergeant,160671.51,220780.82,28656.41,131738.94,410108.74,21441.85,563289.53
"Battalion Chief, Fire Suppress",219221.75,227533.86,41990.0,64894.46,488745.61,8317.25,561957.32
Registered Nurse,409990.9,30534.6,59154.77,61698.85,499680.27,0.0,561379.12
Lieutenant 3,209878.05,255531.39,28880.37,58211.4,494289.81,7448.23,559949.44
Sup Psychiatric Physician Spec,410124.04,0.0,64890.0,83776.64,475014.04,0.0,558790.68
Director,457107.2,0.0,0.0,99462.19,457107.2,0.0,556569.39
Director,457107.2,0.0,0.0,99072.25,457107.2,0.0,556179.45
Sheriff'S Lieutenant,188634.52,169035.63,33042.81,140514.18,390712.96,23129.43,554356.57
Registered Nurse,276583.83,154230.82,60891.85,61411.26,491706.5,0.0,553117.76
"Battalion Chief, Fire Suppress",214889.92,194540.51,70530.03,64602.53,479960.46,8201.56,552764.55
